filename,store_name,store_address,store_code,taxpayer_name,voen,receipt_number,cashier_name,date,time,item_name,quantity,unit_price,line_total,subtotal,vat_18_percent,total_tax,nagdsiz,nagd,bonus,avans,nisye,queue_number,nka_model,nka_serial,fiscal_id,nmq_registration,refund_amount,refund_date,refund_time
5zPBt65vYNdw.jpeg,ARAZ,,1001994141-20022,ARAZ,1001994141,5819,,,,,,,,,,0.69,5.33,0.00,0.00,0.00,0.00,144,NBA FiscalBox,900120010265,5zPBt65vYNdu:,0000015497,0.12,06.07.2023,08:04
Hnd2kzy86Po3.jpeg,ANC GROUP,,1701102351-14010,ANC GROUP,1701102351,,,,,БОК SANTAL 1LT P.ANANAS,1.0,5.45,5.45,5.45,,0.83,5.45,0.00,0.00,0.00,0.00,197,IPOS AZ1001,ESOF000212,Hnd2kzy86Po3,0000071136,0.15,01.02.2024,01:42
ULkmVh2CFNFp.jpeg,ANC GROUP,,1701102351-14010,ANC GROUP,1701102351,,,,,,,,,,,0.23,0.00,0.00,0.00,0.00,0.00,380,1Р05 AZ1001,ESOF000212,UlkmVh2CFNFP,0000071136,0.04,21.01.2024,03:03
2gtjLacLvDDs.jpeg,AZƏRBAYCAN,,1403051411-20006,AZƏRBAYCAN,1403051411,,RAHMANZADA C.,02.04.2023,00:47:09,MUSTERİ PAKETİ ORTA.,1.0,0.05,0.05,19.96,,,19.96,0.00,0.00,0.00,0.00,563,Мипсог Nixdorf ВЕЕТИЕ/М-И1,530523153,2gtiLacLvDDs,0000023188,0.50,02.05.2023,10:01
2gtjLacLvDDs.jpeg,AZƏRBAYCAN,,1403051411-20006,AZƏRBAYCAN,1403051411,,RAHMANZADA C.,02.04.2023,00:47:09,SIRAB QAZSIZ PL 1tT. (ədəd),2.0,0.85,1.7,19.96,,,19.96,0.00,0.00,0.00,0.00,563,Мипсог Nixdorf ВЕЕТИЕ/М-И1,530523153,2gtiLacLvDDs,0000023188,0.50,02.05.2023,10:01
2gtjLacLvDDs.jpeg,AZƏRBAYCAN,,1403051411-20006,AZƏRBAYCAN,1403051411,,RAHMANZADA C.,02.04.2023,00:47:09,PROSTOKVAS ХМ2096180. (ədəd),1.0,3.75,3.75,19.96,,,19.96,0.00,0.00,0.00,0.00,563,Мипсог Nixdorf ВЕЕТИЕ/М-И1,530523153,2gtiLacLvDDs,0000023188,0.50,02.05.2023,10:01
2gtjLacLvDDs.jpeg,AZƏRBAYCAN,,1403051411-20006,AZƏRBAYCAN,1403051411,,RAHMANZADA C.,02.04.2023,00:47:09,АСТМА YGR QRGL130. (ədəd),1.0,1.59,1.59,19.96,,,19.96,0.00,0.00,0.00,0.00,563,Мипсог Nixdorf ВЕЕТИЕ/М-И1,530523153,2gtiLacLvDDs,0000023188,0.50,02.05.2023,10:01
2gtjLacLvDDs.jpeg,AZƏRBAYCAN,,1403051411-20006,AZƏRBAYCAN,1403051411,,RAHMANZADA C.,02.04.2023,00:47:09,"HN SACUSTU SOSİS, (kg)",0.524,12.99,6.81,19.96,,,19.96,0.00,0.00,0.00,0.00,563,Мипсог Nixdorf ВЕЕТИЕ/М-И1,530523153,2gtiLacLvDDs,0000023188,0.50,02.05.2023,10:01
2gtjLacLvDDs.jpeg,AZƏRBAYCAN,,1403051411-20006,AZƏRBAYCAN,1403051411,,RAHMANZADA C.,02.04.2023,00:47:09,BIG BON ETLİ 1100R. (ədəd),1.0,3.2,3.2,19.96,,,19.96,0.00,0.00,0.00,0.00,563,Мипсог Nixdorf ВЕЕТИЕ/М-И1,530523153,2gtiLacLvDDs,0000023188,0.50,02.05.2023,10:01
2gtjLacLvDDs.jpeg,AZƏRBAYCAN,,1403051411-20006,AZƏRBAYCAN,1403051411,,RAHMANZADA C.,02.04.2023,00:47:09,BAHAR SAFTALI ТР 11. (ədəd),1.0,179.0,179.0,19.96,,,19.96,0.00,0.00,0.00,0.00,563,Мипсог Nixdorf ВЕЕТИЕ/М-И1,530523153,2gtiLacLvDDs,0000023188,0.50,02.05.2023,10:01
2gtjLacLvDDs.jpeg,AZƏRBAYCAN,,1403051411-20006,AZƏRBAYCAN,1403051411,,RAHMANZADA C.,02.04.2023,00:47:09,21ВЕ COREYİ 400 GR. (ədəd),1.0,1.07,107.0,19.96,,,19.96,0.00,0.00,0.00,0.00,563,Мипсог Nixdorf ВЕЕТИЕ/М-И1,530523153,2gtiLacLvDDs,0000023188,0.50,02.05.2023,10:01
45WEK2aXxzbW.jpeg,BUTA FARM,,1401383441-20035,BUTA FARM,1401985441,80459,Tünzalə Əsədova,21.05.2023,19:20:50,,,,,17.00,,2.59,17.00,0.00,0.00,0.00,0.00,59,NBA FiscalBox,900121010497,45VVEK2aXxzbuV,0000061816,0.45,20.06.2023,08:45
3G9bAk8wGhGF.jpeg,ARAZ,,1001994141-20022,ARAZ,1001994141,,Agos Bagirov,25.02.2023,23:10:31,,,,,,,0.38,2.48,0.00,0.00,0.00,0.00,773,NBA FiscalBox,900119100844,3G9bAk8vrGhGF,0000007877,0.07,27.03.2023,05:59
45TNoaiPmUFz.jpeg,ARAZ,,1001994141-20022,ARAZ,1001994141,157228,Zohra Babayeva,28.04.2023,23:55:37,MOY MULTİ FRUKT NEKT,1000.0,175.0,175.0,6.54,,1.00,6.54,0.00,0.00,0.00,0.00,738,NBA FiscalBox,900119100844,45TNoaiPmUFz.,0000007877,0.18,28.05.2023,08:33
45TNoaiPmUFz.jpeg,ARAZ,,1001994141-20022,ARAZ,1001994141,157228,Zohra Babayeva,28.04.2023,23:55:37,SIRAB QAZSIZ SU PET,1.0,0.8,0.8,6.54,,1.00,6.54,0.00,0.00,0.00,0.00,738,NBA FiscalBox,900119100844,45TNoaiPmUFz.,0000007877,0.18,28.05.2023,08:33
45TNoaiPmUFz.jpeg,ARAZ,,1001994141-20022,ARAZ,1001994141,157228,Zohra Babayeva,28.04.2023,23:55:37,", BAKILI QIZ DON.QEHVE",2.0,0.65,1.3,6.54,,1.00,6.54,0.00,0.00,0.00,0.00,738,NBA FiscalBox,900119100844,45TNoaiPmUFz.,0000007877,0.18,28.05.2023,08:33
45TNoaiPmUFz.jpeg,ARAZ,,1001994141-20022,ARAZ,1001994141,157228,Zohra Babayeva,28.04.2023,23:55:37,ROMASHKA XAMA 2596 20,1.0,2.69,2.69,6.54,,1.00,6.54,0.00,0.00,0.00,0.00,738,NBA FiscalBox,900119100844,45TNoaiPmUFz.,0000007877,0.18,28.05.2023,08:33
